Country,Life expectancy,Life satisfaction,GDP per capita,Population,Continent
Afghanistan,65.173,2.403800011,1970.560181,38928341,Asia
Albania,78.686,5.198800087,13191.95215,2877800,Europe
Algeria,77.063,5.122300148,10735.38281,43851043,Africa
Andorra,0,0,0,77265,Europe
Angola,61.487,0,6110.274414,32866267,Africa
Antigua and Barbuda,77.146,0,17293.30273,97928,North America
Argentina,76.813,5.967000008,19690.66211,45195777,South America
Armenia,75.224,5.398600101,12619.89258,2963234,Asia
Australia,83.586,7.162099838,48678.68359,25499881,Oceania
Austria,81.671,7.163000107,51857.69141,9006400,Europe
Azerbaijan,73.123,5.173399925,13726.76953,10139175,Asia
Bahamas,74.053,0,30846.58398,393248,North America
Bahrain,77.419,6.646900177,41480.57813,1701583,Asia
Bangladesh,72.868,5.155499935,4871.446289,164689383,Asia
Barbados,79.308,0,12655.40137,287371,North America
Belarus,74.951,5.821499825,19186.77539,9449321,Europe
Belgium,81.786,6.804999828,48769.72656,11589616,Europe
Belize,74.754,0,6121.843262,397621,North America
Benin,62.077,4.62319994,3323.144531,12123198,Africa
Bhutan,72.08,0,10551.45215,771612,Asia
Bolivia,71.771,5.600299835,7845.170898,11673029,South America
Bosnia and Herzegovina,77.545,5.768000126,14509.26563,3280815,Europe
Botswana,69.793,3.471100092,14654.65137,2351625,Africa
Brazil,76.084,6.29279995,14063.98242,212559409,South America
Brunei,75.998,0,62200.88281,437483,Asia
Bulgaria,75.168,5.370900154,22379.09375,6948445,Europe
Burkina Faso,61.981,4.670499802,2155.769287,20903278,Africa
Burundi,61.916,0,731.0632324,11890781,Africa
Cambodia,70.054,4.640299797,4191.566406,16718971,Asia
Cameroon,59.626,5.047599792,3666.410645,26545864,Africa
Canada,82.569,7.025100231,46064.25391,37742157,North America
Cape Verde,73.166,0,6045.061035,555988,Africa
Central African Republic,53.679,0,936.2875977,4829764,Africa
Chad,54.505,4.250800133,1519.036743,16425859,Africa
Chile,80.329,6.171800137,23324.52539,19116209,South America
China,77.097,5.585299969,16315.81543,1439323774,Asia
Colombia,77.46,5.780600071,13448.93262,50882884,South America
Comoros,64.525,4.60860014,2989.17041,869595,Africa
Congo,64.804,5.075200081,3433.958984,5518092,Africa
Costa Rica,80.465,6.581999779,19903.14063,5094114,North America
Cote d'Ivoire,58.104,5.234600067,5181.311035,26378275,Africa
Croatia,78.638,6.125199795,27076.97852,4105268,Europe
Cuba,78.892,0,0,11326616,North America
Cyprus,81.135,6.220900059,38816.09375,1207361,Europe
Czechia,79.521,6.919799805,38511.26953,10708982,Europe
Democratic Republic of Congo,60.971,0,1082.44519,89561404,Africa
Denmark,81.027,7.636199951,55819.91016,5792203,Europe
Djibouti,67.49,0,5481.114746,988002,Africa
Dominica,0,0,10288.86719,71991,North America
Dominican Republic,74.257,5.737199783,17003.01367,10847904,North America
Ecuador,77.216,5.533299923,10329.19922,17643060,South America
Egypt,72.15,4.287700176,11951.44727,102334403,Africa
El Salvador,73.533,6.119999886,7982.625977,6486201,North America
Equatorial Guinea,59.057,0,17007.625,1402985,Africa
Eritrea,66.679,0,0,3546427,Africa
Estonia,78.897,6.340799809,35257.16016,1326539,Europe
Eswatini,60.721,4.396100044,8404.727539,1160164,Africa
Ethiopia,66.953,4.241499901,2296.827393,114963583,Africa
Fiji,67.561,0,11450.75098,896444,Oceania
Finland,82.077,7.821000099,47154.42578,5540718,Europe
France,82.784,6.686699867,42320.52344,65273512,Europe
Gabon,66.69,4.958300114,14320.84473,2225728,Africa
Gambia,62.383,5.163599968,2156.754639,2416664,Africa
Georgia,73.919,4.973199844,13966.32617,3989175,Asia
Germany,81.478,7.034100056,51423.23438,83783945,Europe
Ghana,64.347,4.872000217,5445.725586,31072945,Africa
Greece,82.405,5.948200226,27072.61914,10423056,Europe
Grenada,72.426,0,14488.53223,112519,North America
Guatemala,74.529,6.262199879,8393.28418,17915567,North America
Guinea,61.962,4.890500069,2670.823242,13132792,Africa
Guinea-Bissau,58.634,0,1847.46582,1967998,Africa
Guyana,70.023,0,18679.95508,786559,South America
Haiti,64.315,0,2934.24585,11402533,North America
Honduras,75.448,6.022099972,5138.385254,9904608,North America
Hungary,77.026,6.08589983,31098.39648,9660350,Europe
Iceland,83.138,7.557499886,52375.67969,341250,Europe
India,69.887,3.777100086,6165.746582,1380004385,Asia
Indonesia,71.908,5.239600182,11444.96094,273523621,Asia
Iran,76.87,4.887899876,12644.44531,83992953,Asia
Iraq,70.748,4.940899849,9012.381836,40222503,Asia
Ireland,82.479,7.040800095,90789.21875,4937796,Europe
Israel,83.123,7.363800049,39056.41797,8655541,Asia
Italy,83.663,6.466700077,39073.41406,60461828,Europe
Jamaica,74.586,5.849599838,8761.019531,2961161,North America
Japan,84.766,6.038899899,40232.21094,126476458,Asia
Jordan,74.655,4.152100086,9816.554688,10203140,Asia
Kazakhstan,73.824,6.234099865,25363.16602,18776707,Asia
Kenya,66.991,4.543000221,4339.856934,53771300,Africa
Kiribati,68.611,0,2259.497803,119446,Oceania
Kuwait,75.586,6.106100082,44847.05469,4270563,Asia
Kyrgyzstan,71.587,5.828499794,4714.938965,6524191,Asia
Laos,68.219,5.140299797,7810.734863,7275556,Asia
Latvia,75.415,6.180399895,30100.26953,1886202,Europe
Lebanon,79.004,2.955300093,11488.41504,6825442,Asia
Lesotho,54.836,3.511800051,2316.987793,2142252,Africa
Liberia,64.423,5.121500015,1392.004883,5057677,Africa
Libya,73.082,5.330200195,10282.29102,6871287,Africa
Liechtenstein,0,0,0,38137,Europe
Lithuania,76.1,6.445600033,37107.05859,2722291,Europe
Luxembourg,82.401,7.403999805,112557.3125,625976,Europe
Madagascar,67.39,4.339099884,1463.86499,27691019,Africa
Malawi,64.694,3.750400066,1508.842896,19129955,Africa
Malaysia,76.306,5.711299896,26471.67383,32365998,Asia
Maldives,79.208,0,12744.42969,540542,Asia
Mali,59.692,4.479000092,2225.894287,20250834,Africa
Malta,82.682,6.446899891,39979.69922,441539,Europe
Marshall Islands,0,0,3932.247803,59194,Oceania
Mauritania,65.129,4.152599812,5109.805176,4649660,Africa
Mauritius,75.13,6.071100235,19462.93164,1271767,Africa
Mexico,75.131,6.127600193,17852.35938,128932753,North America
Micronesia ,68.002,0,3368.545898,115021,Oceania
Moldova,72.006,5.856800079,12324.38867,4033963,Europe
Monaco,0,0,0,39244,Europe
Mongolia,70.056,5.760700226,11723.87305,3278292,Asia
Montenegro,77.014,5.546800137,18258.94922,628062,Europe
Morocco,76.901,5.059899807,6986.283691,36910558,Africa
Mozambique,61.387,5.048299789,1229.940308,31255435,Africa
Myanmar,67.363,4.394199848,4857.389648,54409794,Asia
Namibia,64.045,4.459400177,8814.591797,2540916,Africa
Nauru,0,0,13594.49219,10834,Oceania
Nepal,71.067,5.37650013,3800.065674,29136808,Asia
Netherlands,82.424,7.414899826,54324.38281,17134873,Europe
New Zealand,82.434,7.199800014,42774.69141,4822233,Oceania
Nicaragua,74.697,6.164599895,5280.099609,6624554,North America
Niger,62.792,5.003499985,1221.269897,24206636,Africa
Nigeria,55.018,4.552000046,4916.721191,206139587,Africa
North Korea,72.453,0,0,25778815,Asia
North Macedonia,75.918,5.198999882,15931.3623,2083380,Europe
Norway,82.546,7.365099907,63548,5421242,Europe
Oman,78.078,0,29502.06055,5106622,Asia
Pakistan,67.428,4.515799999,4562.622559,220892331,Asia
Palau,0,0,15473.25195,18092,Oceania
Palestine,74.213,4.482500076,5394.071777,5101416,Asia
Panama,78.68,6.309100151,25389.8125,4314768,North America
Papua New Guinea,64.725,0,4063.732178,8947027,Oceania
Paraguay,74.363,5.578299999,12389.58691,7132530,South America
Peru,76.947,5.559100151,11260.8457,32971845,South America
Philippines,71.36,5.903600216,7953.581543,109581085,Asia
Poland,78.901,6.122799873,32398.70508,37846605,Europe
Portugal,82.233,6.016300201,31961.77539,10196707,Europe
Qatar,80.363,0,85290.45313,2881060,Asia
Romania,76.183,6.477000237,28870.92969,19237682,Europe
Russia,72.742,5.458600044,26456.38867,145934460,Europe
Rwanda,69.329,3.268199921,2098.710449,12952209,Africa
Saint Kitts and Nevis,0,0,24319.36328,53192,North America
Saint Lucia,76.343,0,12048.92773,183629,North America
Saint Vincent and the Grenadines,72.658,0,12044.36523,110947,North America
Samoa,73.45,0,6416.77832,198410,Oceania
San Marino,0,0,0,33938,Europe
Sao Tome and Principe,70.583,0,4051.604736,219161,Africa
Saudi Arabia,75.28,6.522799969,44328.18359,34813867,Asia
Senegal,68.213,5.04610014,3320.675537,16743930,Africa
Serbia,76.144,6.177999973,18255.05469,8737370,Europe
Seychelles,73.483,0,24427.71289,98340,Africa
Sierra Leone,55.066,3.573999882,1637.296631,7976985,Africa
Singapore,83.767,6.480199814,93397.04688,5850343,Asia
Slovakia,77.685,6.390699863,30509.76953,5459643,Europe
Slovenia,81.475,6.630099773,37050.54688,2078931,Europe
Solomon Islands,73.132,0,2482.871826,686878,Oceania
Somalia,57.697,0,1180.965942,15893219,Africa
South Africa,64.379,5.193900108,12665.83203,59308690,Africa
South Korea,83.193,5.935100079,42335.86719,51269183,Asia
South Sudan,58.095,0,0,11193729,Africa
Spain,83.693,6.476299763,36210.875,46754783,Europe
Sri Lanka,77.144,4.362199783,12536.94141,21413250,Asia
Sudan,65.53,0,3927.043945,43849269,Africa
Suriname,71.802,0,15864.55078,586634,South America
Sweden,82.946,7.384300232,50923.10938,10099270,Europe
Switzerland,83.921,7.511600018,68755.4375,8654618,Europe
Syria,73.651,0,0,17500657,Asia
Taiwan,80.626,6.512499809,0,23816775,Asia
Tajikistan,71.301,5.377099991,3657.573486,9537642,Asia
Tanzania,65.815,3.702399969,2635.356689,59734213,Africa
Thailand,77.344,5.891200066,17284.70117,69799978,Asia
Timor-Leste,69.712,0,3925.948242,1318442,Asia
Togo,61.34,4.112299919,2107.877686,8278736,Africa
Tonga,71.018,0,6346.999512,105697,Oceania
Trinidad and Tobago,73.628,0,23722.47852,1399491,North America
Tunisia,76.891,4.515999794,10260.06543,11818618,Africa
Turkey,77.928,4.74420023,28393.4668,84339067,Asia
Turkmenistan,68.313,5.474299908,0,6031187,Asia
Tuvalu,0,0,4411.00293,11792,Oceania
Uganda,63.713,4.602600098,2175.031006,45741000,Africa
Ukraine,72.184,5.08409977,12375.92188,43733759,Europe
United Arab Emirates,78.12,6.576000214,63299.42188,9890400,Asia
United Kingdom,81.426,6.942500114,42675.78125,67886004,Europe
United States of America,78.9,6.976799965,59919.82031,331002647,North America
Uruguay,78.056,6.473599911,21608.42969,3473727,South America
Uzbekistan,71.848,6.062699795,7331.859863,33469199,Asia
Vanuatu,70.623,0,2854.29248,307150,Oceania
Venezuela,72.066,4.925499916,0,28435943,South America
Vietnam,75.493,5.485000134,8200.332031,97338583,Asia
Yemen,66.181,4.196899891,0,29825968,Asia
Zambia,64.194,3.759799957,3277.816406,18383956,Africa
Zimbabwe,61.738,2.995100021,3353.411377,14862927,Africa
